	OG	TSG
FAT	-3.7057883743239204	-0.02488798327558251
STAG2_ENST00000218089	-3.7057883743239204	-0.02488798327558251
SIN3A	-3.7057883743239204	-0.02488798327558251
USP28	-3.7057883743239204	-0.02488798327558251
ATRX_ENST00000373344	-3.7057883743239204	-0.02488798327558251
PTCH1_ENST00000375274	-3.7057883743239204	-0.02488798327558251
KMT2D	-3.7057883743239204	-0.02488798327558251
BCORL1	-3.7057883743239204	-0.02488798327558251
ASXL2_ENST00000435504	-3.7057883743239204	-0.02488798327558251
NF1_ENST00000358273	-3.7057883743239204	-0.02488798327558251
ARID1A	-3.7057883743239204	-0.02488798327558251
PBRM1_ENST00000356770	-3.7057883743239204	-0.02488798327558251
ZNF292_ENST00000369577	-3.7057883743239204	-0.02488798327558251
TNRC6B_ENST00000454349	-3.7057883743239204	-0.02488798327558251
COBL	-3.7057883743239204	-0.02488798327558251
SRGAP3	-3.7057883743239204	-0.02488798327558251
PBRM1_ENST00000296302	-3.7057883743239204	-0.02488798327558251
NF1	-3.7057883743239204	-0.02488798327558251
GIGYF2	-3.7057883743239204	-0.02488798327558251
PTCH1_ENST00000331920	-3.7057883743239204	-0.02488798327558251
MLL2_ENST00000301067	-3.7057883743239204	-0.02488798327558251
FAM123B_ENST00000330258	-3.7057883743239204	-0.02488798327558251
LATS1_ENST00000253339	-3.7057883743239204	-0.02488798327558251
MGA	-3.7057883743239204	-0.02488798327558251
MLLT4_ENST00000366806	-3.7057883743239204	-0.02488798327558251
LATS1_ENST00000543571	-3.7057883743239204	-0.02488798327558251
KDM6A	-3.451029755410031	-0.032226709795957605
BCOR_ENST00000378444	-3.451029755410031	-0.032226709795957605
USP9X	-3.451029755410031	-0.032226709795957605
USP9X_ENST00000324545	-3.451029755410031	-0.032226709795957605
BCOR	-3.451029755410031	-0.032226709795957605
ATM_ENST00000278616	-3.451029755410031	-0.032226709795957605
NOTCH2	-3.451029755410031	-0.032226709795957605
ZMYM3	-3.451029755410031	-0.032226709795957605
LIFR_ENST00000263409	-3.1597117117114095	-0.04336478058728544
EPB41L3_ENST00000544123	-3.1597117117114095	-0.04336478058728544
DCC_ENST00000412726	-3.1597117117114095	-0.04336478058728544
DMD_ENST00000378677	-3.1597117117114095	-0.04336478058728544
PCDH15_ENST00000395438	-3.1597117117114095	-0.04336478058728544
ROBO2_ENST00000487694	-3.1597117117114095	-0.04336478058728544
PCDH15_ENST00000414778	-3.1597117117114095	-0.04336478058728544
PCDH15	-3.1597117117114095	-0.04336478058728544
PCDH15_ENST00000417177	-3.1597117117114095	-0.04336478058728544
GRIK2	-3.1597117117114095	-0.04336478058728544
PTCH1_ENST00000430669	-3.1597117117114095	-0.04336478058728544
LRRIQ3	-3.1597117117114095	-0.04336478058728544
ROBO2	-3.1597117117114095	-0.04336478058728544
GRIK2_ENST00000369138	-3.1597117117114095	-0.04336478058728544
MLL3_ENST00000355193	-3.1597117117114095	-0.04336478058728544
DMD_ENST00000378687	-3.1597117117114095	-0.04336478058728544
MDGA2_ENST00000399232	-3.1597117117114095	-0.04336478058728544
AMPH	-3.1597117117114095	-0.04336478058728544
EPB41L3	-3.1597117117114095	-0.04336478058728544
GRIK2_ENST00000421544	-3.1597117117114095	-0.04336478058728544
NRXN1_ENST00000406316	-3.1597117117114095	-0.04336478058728544
SCN1A	-3.1597117117114095	-0.04336478058728544
SYCP2	-3.1223131603519905	-0.04505504944955594
BRCA2_ENST00000544455	-3.1223131603519905	-0.04505504944955594
RUNX1T1_ENST00000265814	-3.0043673321908715	-0.050840876554571375
CREBBP	-3.0043673321908715	-0.050840876554571375
TP53_ENST00000420246	-3.0043673321908715	-0.050840876554571375
CSMD3_ENST00000343508	-3.0043673321908715	-0.050840876554571375
CSMD3	-3.0043673321908715	-0.050840876554571375
UNC13C	-3.0043673321908715	-0.050840876554571375
RUNX1T1_ENST00000436581	-3.0043673321908715	-0.050840876554571375
PDE1C_ENST00000396191	-3.0043673321908715	-0.050840876554571375
FBXW7_ENST00000534231	-3.0043673321908715	-0.050840876554571375
UNC13C_ENST00000260323	-3.0043673321908715	-0.050840876554571375
PDE1C	-3.0043673321908715	-0.050840876554571375
TP53_ENST00000413465	-3.0043673321908715	-0.050840876554571375
SPTA1	-3.0043673321908715	-0.050840876554571375
C6	-3.0043673321908715	-0.050840876554571375
TP53_ENST00000269305	-3.0043673321908715	-0.050840876554571375
SAMD9L	-3.0043673321908715	-0.050840876554571375
DCC	-3.0043673321908715	-0.050840876554571375
TP53	-3.0043673321908715	-0.050840876554571375
FBXW7_ENST00000281708	-3.0043673321908715	-0.050840876554571375
FAM5C	-3.0043673321908715	-0.050840876554571375
CDKN2A_ENST00000446177	-3.0043673321908715	-0.050840876554571375
SULF1	-2.78203662608605	-0.06391182337835966
FGA_ENST00000403106	-2.78203662608605	-0.06391182337835966
SYT16_ENST00000430451	-2.78203662608605	-0.06391182337835966
THEMIS	-2.78203662608605	-0.06391182337835966
RGS22	-2.7379278104135847	-0.06689252977212665
RUNX1	-2.6732825331220744	-0.07152315059698702
SETD2_ENST00000409792	-2.6732825331220744	-0.07152315059698702
KIAA1267	-2.6732825331220744	-0.07152315059698702
CTNND1_ENST00000399050	-2.6732825331220744	-0.07152315059698702
MED23	-2.6732825331220744	-0.07152315059698702
TBX3	-2.6732825331220744	-0.07152315059698702
CRSP3	-2.6732825331220744	-0.07152315059698702
TET2_ENST00000305737	-2.6732825331220744	-0.07152315059698702
LARP1	-2.6732825331220744	-0.07152315059698702
TSC2_ENST00000219476	-2.6732825331220744	-0.07152315059698702
RNF6	-2.6732825331220744	-0.07152315059698702
ZNF292	-2.6732825331220744	-0.07152315059698702
