	OG	TSG
PBRM1_ENST00000356770	-2.7179970536935896	-0.06828615368014328
CNTLN	-2.613675095070366	-0.07608739964321909
JMJD1C	-2.521304965739561	-0.08376720305164419
ZNF318	-2.521304965739561	-0.08376720305164419
KDM6A_ENST00000382899	-2.466021046026639	-0.08874606840068963
KDM6A_ENST00000377967	-2.466021046026639	-0.08874606840068963
NOTCH2	-2.426701302584072	-0.09247469445534894
CRSP3	-2.401446990570919	-0.0949557008510471
PDS5B	-2.401446990570919	-0.0949557008510471
GON4L_ENST00000368331	-2.3996501072176346	-0.09513486561299549
MLL2_ENST00000301067	-2.3769094776719037	-0.09743318632978377
CTNND1	-2.362384108978497	-0.09893165096688254
NF2_ENST00000403999	-2.3509301808599514	-0.10013032021967633
STAG2_ENST00000218089	-2.348526647889969	-0.10038378474681967
MLL3_ENST00000355193	-2.3242465139764463	-0.10298240147489632
CSPP1	-2.316129566536175	-0.10386683620922485
ARID1A	-2.3150444302037343	-0.10398567884359675
NF1_ENST00000358273	-2.312707420010798	-0.10424211145100615
SETD2_ENST00000409792	-2.3097629626415994	-0.1045661456680153
MBD6	-2.307544465452689	-0.10481098944440907
KMT2A	-2.301958233748443	-0.10543019094763953
DMXL2	-2.2934075971225587	-0.10638545608699011
GOLGA2	-2.2838049155384472	-0.10746914103953269
LARP4B	-2.283141106123287	-0.10754448237303624
ZNF608	-2.277665816417689	-0.10816804830504573
SACS_ENST00000382298	-2.2658049156129385	-0.10953197494324689
SACS	-2.2658049156129385	-0.10953197494324689
CASP8AP2	-2.264417194799203	-0.10969273603446666
LTBP2	-2.2572756358682455	-0.11052400251617872
ZNF318_ENST00000318149	-2.255651375281137	-0.11071399102064242
SAMD9	-2.2553268154236896	-0.11075199587440286
SPAG1	-2.244482005450436	-0.1120298445787272
ZNF543	-2.2238301745897386	-0.11450656086530207
ASXL2_ENST00000435504	-2.2180198434851084	-0.1152137720878853
MLL_ENST00000534358	-2.2121768060221374	-0.11592962937777955
CACNA1H	-2.2112218695803567	-0.11604707011409025
CACNA1H_ENST00000358590	-2.2112218695803567	-0.11604707011409025
PBRM1_ENST00000296302	-2.2105404703799043	-0.11613094751248222
HSPG2	-2.2035802271943314	-0.11699141214343539
RIN2	-2.203294368751355	-0.11702689567158266
MED23	-2.202522160289427	-0.11712280671713914
TRIP12	-2.2023048665541904	-0.11714981038906186
JMJD1C_ENST00000399262	-2.1993353216891105	-0.11751950559616564
DOCK8_ENST00000453981	-2.1960840669532917	-0.11792569095769465
ABCB4_ENST00000265723	-2.1957466461459734	-0.11796793073202232
NCOR1_ENST00000395851	-2.190839795304009	-0.11858400737386254
KMT2D	-2.1807814522846063	-0.119857568169258
HCFC2	-2.179465035980012	-0.12002532016515158
ASXL2	-2.176545747017181	-0.12039821710700484
