	OG	TSG
RBMX	-3.3242363405260273	-0.03666398437159136
TP53_ENST00000455263	-3.3242363405260273	-0.03666398437159136
TP53_ENST00000420246	-3.3242363405260273	-0.03666398437159136
C18orf34_ENST00000383096	-3.3242363405260273	-0.03666398437159136
FBXW7_ENST00000281708	-3.3242363405260273	-0.03666398437159136
ZFP36L2	-3.3242363405260273	-0.03666398437159136
RPL22	-3.3242363405260273	-0.03666398437159136
FBXW7_ENST00000534231	-3.3242363405260273	-0.03666398437159136
TP53_ENST00000413465	-3.3242363405260273	-0.03666398437159136
TP53_ENST00000269305	-3.3242363405260273	-0.03666398437159136
TP53_ENST00000414315	-3.3242363405260273	-0.03666398437159136
FBXW7_NM_018315_2	-3.3242363405260273	-0.03666398437159136
SOX9	-3.3242363405260273	-0.03666398437159136
CDKN2A_ENST00000446177	-3.3242363405260273	-0.03666398437159136
CREBBP	-3.3242363405260273	-0.03666398437159136
NOTCH1	-3.3242363405260273	-0.03666398437159136
FBXW7_ENST00000296555	-3.3242363405260273	-0.03666398437159136
CASP8_ENST00000264275	-3.3242363405260273	-0.03666398437159136
CRIPAK	-3.3242363405260273	-0.03666398437159136
CDKN2A_ENST00000498124	-3.3242363405260273	-0.03666398437159136
GATA3	-3.3242363405260273	-0.03666398437159136
WT1	-3.3242363405260273	-0.03666398437159136
TP53_ENST00000545858	-3.3242363405260273	-0.03666398437159136
TCF7L2_ENST00000355717	-3.3242363405260273	-0.03666398437159136
CASP8_ENST00000358485	-3.3242363405260273	-0.03666398437159136
TP53	-3.3242363405260273	-0.03666398437159136
ZFP36L1	-2.8434881719973144	-0.059985936930166815
C3orf27	-2.8434881719973144	-0.059985936930166815
WT1_ENST00000332351	-2.8434881719973144	-0.059985936930166815
CDKN1A	-2.8434881719973144	-0.059985936930166815
CCND3	-2.8434881719973144	-0.059985936930166815
ELF3_ENST00000359651	-2.8434881719973144	-0.059985936930166815
B3GALT1	-2.8434881719973144	-0.059985936930166815
TGFBR2_ENST00000359013	-2.8434881719973144	-0.059985936930166815
DNMT3A_ENST00000380746	-2.8434881719973144	-0.059985936930166815
CASP5_ENST00000393141	-2.8434881719973144	-0.059985936930166815
ELF3	-2.8434881719973144	-0.059985936930166815
MAP2K4	-2.8434881719973144	-0.059985936930166815
B2M_ENST00000544417	-2.8434881719973144	-0.059985936930166815
PIK3R1_ENST00000336483	-2.8434881719973144	-0.059985936930166815
CBFB_ENST00000412916	-2.8434881719973144	-0.059985936930166815
WT1_ENST00000379079	-2.8434881719973144	-0.059985936930166815
ACVR1B_ENST00000541224	-2.8434881719973144	-0.059985936930166815
PIK3R1_ENST00000320694	-2.8434881719973144	-0.059985936930166815
ZNF750	-2.8179407358317863	-0.06158694911163086
RB1_ENST00000267163	-2.8179407358317863	-0.06158694911163086
NOTCH1_ENST00000277541	-2.8179407358317863	-0.06158694911163086
RUNX1	-2.8179407358317863	-0.06158694911163086
MLL3_ENST00000355193	-2.8179407358317863	-0.06158694911163086
MLL4	-2.8179407358317863	-0.06158694911163086
BCOR	-2.8179407358317863	-0.06158694911163086
ZC3H13	-2.8179407358317863	-0.06158694911163086
PBRM1_ENST00000356770	-2.8179407358317863	-0.06158694911163086
ZFPM1	-2.8179407358317863	-0.06158694911163086
KIAA1267	-2.8179407358317863	-0.06158694911163086
BCOR_ENST00000378444	-2.8179407358317863	-0.06158694911163086
LARP4B	-2.8179407358317863	-0.06158694911163086
NCOR1_ENST00000395851	-2.8179407358317863	-0.06158694911163086
KDM5C_ENST00000452825	-2.8179407358317863	-0.06158694911163086
GRLF1_ENST00000317082	-2.8179407358317863	-0.06158694911163086
KDM6A_ENST00000377967	-2.8179407358317863	-0.06158694911163086
ATM_ENST00000278616	-2.8179407358317863	-0.06158694911163086
ASXL2_ENST00000435504	-2.8179407358317863	-0.06158694911163086
TGIF1	-2.8179407358317863	-0.06158694911163086
ASXL1_ENST00000306058	-2.8179407358317863	-0.06158694911163086
FAT	-2.8179407358317863	-0.06158694911163086
RASA1_ENST00000456692	-2.8179407358317863	-0.06158694911163086
