	OG	TSG
MAP2K4	0.04188311688311688	0.9581168831168831
TCF7L2_ENST00000355717	0.058366633366633364	0.9416333666333667
ZC3H18	0.058366633366633364	0.9416333666333667
WT1	0.058366633366633364	0.9416333666333667
SIN3A	0.058366633366633364	0.9416333666333667
TSC2_ENST00000219476	0.058366633366633364	0.9416333666333667
GIGYF2	0.058366633366633364	0.9416333666333667
ATRX_ENST00000373344	0.058366633366633364	0.9416333666333667
RNF111	0.058366633366633364	0.9416333666333667
KBTBD4	0.058366633366633364	0.9416333666333667
MBD6	0.058366633366633364	0.9416333666333667
RNF111_ENST00000434298	0.058366633366633364	0.9416333666333667
ATF7IP	0.058366633366633364	0.9416333666333667
ARID1A	0.058366633366633364	0.9416333666333667
USP43	0.058366633366633364	0.9416333666333667
ICA1	0.058366633366633364	0.9416333666333667
WT1_ENST00000332351	0.058366633366633364	0.9416333666333667
PTCH1_ENST00000375274	0.058366633366633364	0.9416333666333667
STAU2_ENST00000521210	0.058366633366633364	0.9416333666333667
TET2_ENST00000305737	0.058366633366633364	0.9416333666333667
SP3_ENST00000310015	0.058366633366633364	0.9416333666333667
MIS18BP1	0.058366633366633364	0.9416333666333667
CAMTA2	0.058366633366633364	0.9416333666333667
ARID1B_ENST00000346085	0.058366633366633364	0.9416333666333667
SCAF4	0.058366633366633364	0.9416333666333667
LARP4B	0.058366633366633364	0.9416333666333667
STAG2_ENST00000218089	0.058366633366633364	0.9416333666333667
NCOR1_ENST00000395851	0.058366633366633364	0.9416333666333667
KDM6A	0.058366633366633364	0.9416333666333667
RNF6	0.058366633366633364	0.9416333666333667
TNFAIP6	0.058366633366633364	0.9416333666333667
STAU2_ENST00000524300	0.058366633366633364	0.9416333666333667
SH2B1	0.058366633366633364	0.9416333666333667
PTCH1_ENST00000331920	0.058366633366633364	0.9416333666333667
KIAA1267	0.058366633366633364	0.9416333666333667
IWS1	0.058366633366633364	0.9416333666333667
CDKN2A_ENST00000498124	0.07799422799422799	0.922005772005772
CDKN2A_ENST00000446177	0.07799422799422799	0.922005772005772
CASP8_ENST00000264275	0.07799422799422799	0.922005772005772
GATA3	0.07799422799422799	0.922005772005772
ITGB4	0.09268035885682945	0.9073196411431707
BZRAP1_ENST00000355701	0.09268035885682945	0.9073196411431707
CLASRP	0.09268035885682945	0.9073196411431707
CAMTA2_ENST00000414043	0.09268035885682945	0.9073196411431707
ANK3_ENST00000355288	0.09268035885682945	0.9073196411431707
PRIM2	0.09268035885682945	0.9073196411431707
GRM7_ENST00000357716	0.09268035885682945	0.9073196411431707
PCDH19	0.09268035885682945	0.9073196411431707
FNIP1	0.09268035885682945	0.9073196411431707
IQCE	0.09268035885682945	0.9073196411431707
CAMTA2_ENST00000381311	0.09268035885682945	0.9073196411431707
GRIK2_ENST00000421544	0.09268035885682945	0.9073196411431707
GRM7_ENST00000403881	0.09268035885682945	0.9073196411431707
SIGLEC12	0.09268035885682945	0.9073196411431707
GRIK2	0.09268035885682945	0.9073196411431707
ADD3	0.09268035885682945	0.9073196411431707
HLA-A	0.09268035885682945	0.9073196411431707
NF1	0.09447774447774449	0.9055222555222556
PBRM1_ENST00000356770	0.09447774447774449	0.9055222555222556
LARP1	0.09447774447774449	0.9055222555222556
FAM111B	0.09447774447774449	0.9055222555222556
NOX3	0.09447774447774449	0.9055222555222556
NFATC4_ENST00000413692	0.09447774447774449	0.9055222555222556
TNRC6B_ENST00000454349	0.09447774447774449	0.9055222555222556
LUC7L2	0.09447774447774449	0.9055222555222556
FGF13_ENST00000370603	0.09447774447774449	0.9055222555222556
RNF128_ENST00000324342	0.09447774447774449	0.9055222555222556
BMPR2	0.09447774447774449	0.9055222555222556
BRD7	0.09447774447774449	0.9055222555222556
MLL3_ENST00000355193	0.09447774447774449	0.9055222555222556
NF2_ENST00000403999	0.09447774447774449	0.9055222555222556
NF1_ENST00000358273	0.09447774447774449	0.9055222555222556
FAT	0.09447774447774449	0.9055222555222556
BCORL1_ENST00000303743	0.09447774447774449	0.9055222555222556
SETD2_ENST00000409792	0.09447774447774449	0.9055222555222556
RASA1	0.09447774447774449	0.9055222555222556
GRB14	0.09447774447774449	0.9055222555222556
ZFP36L1	0.09447774447774449	0.9055222555222556
MAP3K1_ENST00000399503	0.09447774447774449	0.9055222555222556
TMEM57	0.09447774447774449	0.9055222555222556
PDS5B	0.09447774447774449	0.9055222555222556
MLL4	0.09447774447774449	0.9055222555222556
SPRED2	0.09447774447774449	0.9055222555222556
MARK2_ENST00000402010	0.09447774447774449	0.9055222555222556
CYC1	0.09447774447774449	0.9055222555222556
PBRM1_ENST00000296302	0.09447774447774449	0.9055222555222556
PKD1L2_ENST00000525539	0.09447774447774449	0.9055222555222556
IFI16	0.09447774447774449	0.9055222555222556
TOMM70A	0.09447774447774449	0.9055222555222556
GRLF1_ENST00000317082	0.09447774447774449	0.9055222555222556
OR1B1	0.09447774447774449	0.9055222555222556
RUNX1	0.09447774447774449	0.9055222555222556
LMAN1	0.09447774447774449	0.9055222555222556
ZC3H13	0.09447774447774449	0.9055222555222556
BCL9L_ENST00000334801	0.09447774447774449	0.9055222555222556
DUSP16	0.09447774447774449	0.9055222555222556
RIN2	0.09447774447774449	0.9055222555222556
GRLF1	0.09447774447774449	0.9055222555222556
TBX3	0.09447774447774449	0.9055222555222556
SLC20A1	0.09447774447774449	0.9055222555222556
LIMCH1	0.09447774447774449	0.9055222555222556
RBMX	0.09447774447774449	0.9055222555222556
PTCH1_ENST00000430669	0.09447774447774449	0.9055222555222556
BCORL1	0.09447774447774449	0.9055222555222556
LARP1_ENST00000336314	0.09447774447774449	0.9055222555222556
ZNF365	0.09447774447774449	0.9055222555222556
CDKL2	0.09447774447774449	0.9055222555222556
CDC7	0.09447774447774449	0.9055222555222556
KMT2D	0.09447774447774449	0.9055222555222556
BCL9L_ENST00000392849	0.09447774447774449	0.9055222555222556
CTNND1_ENST00000399050	0.09447774447774449	0.9055222555222556
CTNND1	0.09447774447774449	0.9055222555222556
GOLGA2	0.09447774447774449	0.9055222555222556
BCL9L	0.09447774447774449	0.9055222555222556
CCR4	0.09447774447774449	0.9055222555222556
CDH24	0.09447774447774449	0.9055222555222556
ASXL2_ENST00000435504	0.09447774447774449	0.9055222555222556
B3GALT1	0.09447774447774449	0.9055222555222556
EXOSC9	0.09447774447774449	0.9055222555222556
TCF7L2	0.09447774447774449	0.9055222555222556
RASA1_ENST00000456692	0.09447774447774449	0.9055222555222556
RTN4	0.09447774447774449	0.9055222555222556
SLC35F1	0.09447774447774449	0.9055222555222556
ASXL2	0.09447774447774449	0.9055222555222556
ZNRF3	0.09447774447774449	0.9055222555222556
ZNF14	0.09447774447774449	0.9055222555222556
RB1_ENST00000267163	0.09447774447774449	0.9055222555222556
ZNF750	0.09447774447774449	0.9055222555222556
OR52D1	0.09447774447774449	0.9055222555222556
CHIT1	0.09447774447774449	0.9055222555222556
GRK4_ENST00000398052	0.09447774447774449	0.9055222555222556
MLLT4_ENST00000366806	0.09447774447774449	0.9055222555222556
MLL2_ENST00000301067	0.09447774447774449	0.9055222555222556
RPS6KA3	0.09447774447774449	0.9055222555222556
KRT38	0.09447774447774449	0.9055222555222556
RBBP8	0.09447774447774449	0.9055222555222556
CDH24_ENST00000397359	0.09447774447774449	0.9055222555222556
FAM182B_ENST00000376404	0.09606504606504607	0.903934953934954
FBXW7_ENST00000281708	0.09798169666590718	0.9020183033340928
TP53_ENST00000414315	0.09798169666590718	0.9020183033340928
FBXW7_ENST00000534231	0.09798169666590718	0.9020183033340928
TP53_ENST00000413465	0.09798169666590718	0.9020183033340928
TP53	0.09798169666590718	0.9020183033340928
TP53_ENST00000269305	0.09798169666590718	0.9020183033340928
TP53_ENST00000455263	0.09798169666590718	0.9020183033340928
TP53_ENST00000420246	0.09798169666590718	0.9020183033340928
ATM_ENST00000278616	0.09798169666590718	0.9020183033340928
KDM6A_ENST00000377967	0.10003330003330002	0.8999666999667001
MGA	0.10003330003330002	0.8999666999667001
SYTL2_ENST00000359152	0.10003330003330002	0.8999666999667001
MED23	0.10003330003330002	0.8999666999667001
USP9X_ENST00000324545	0.10003330003330002	0.8999666999667001
KDM6A_ENST00000382899	0.10003330003330002	0.8999666999667001
EPS8L2	0.10003330003330002	0.8999666999667001
RAD54B	0.10003330003330002	0.8999666999667001
SLC27A3	0.10003330003330002	0.8999666999667001
TTK	0.10388579082608933	0.8961142091739108
C15orf52	0.10388579082608933	0.8961142091739108
FXR1	0.10388579082608933	0.8961142091739108
CDH26	0.10388579082608933	0.8961142091739108
FETUB	0.10388579082608933	0.8961142091739108
PRKCD	0.10388579082608933	0.8961142091739108
KDM5C_ENST00000452825	0.10388579082608933	0.8961142091739108
G2E3	0.10388579082608933	0.8961142091739108
STX5	0.10388579082608933	0.8961142091739108
CCT3	0.10388579082608933	0.8961142091739108
FGFRL1	0.10388579082608933	0.8961142091739108
ATP13A3	0.10388579082608933	0.8961142091739108
GTF3C2	0.10388579082608933	0.8961142091739108
NIPBL_ENST00000448238	0.10388579082608933	0.8961142091739108
PRKCD_ENST00000394729	0.10388579082608933	0.8961142091739108
SPECC1_ENST00000261503	0.10388579082608933	0.8961142091739108
PAX6	0.10388579082608933	0.8961142091739108
EIF4G2	0.10388579082608933	0.8961142091739108
GIGYF2_ENST00000409451	0.10388579082608933	0.8961142091739108
SMARCC2	0.10388579082608933	0.8961142091739108
NIPBL	0.10388579082608933	0.8961142091739108
SCAF11	0.10388579082608933	0.8961142091739108
RBM5	0.10388579082608933	0.8961142091739108
ELF3_ENST00000359651	0.10388579082608933	0.8961142091739108
B4GALNT1	0.10388579082608933	0.8961142091739108
ELF3	0.10388579082608933	0.8961142091739108
C18orf34_ENST00000383096	0.10388579082608933	0.8961142091739108
SMARCC2_ENST00000267064	0.10388579082608933	0.8961142091739108
ZNF34	0.10388579082608933	0.8961142091739108
SYCP2	0.10388579082608933	0.8961142091739108
KDM5C_ENST00000375401	0.10388579082608933	0.8961142091739108
EPDR1	0.10388579082608933	0.8961142091739108
RBM6	0.10388579082608933	0.8961142091739108
SP140_ENST00000392045	0.10388579082608933	0.8961142091739108
MTMR1	0.10388579082608933	0.8961142091739108
BRCA2_ENST00000544455	0.10388579082608933	0.8961142091739108
HOXD8	0.11392218892218892	0.8860778110778113
STOML1	0.11392218892218892	0.8860778110778113
ZFYVE19	0.11392218892218892	0.8860778110778113
MLF1_ENST00000355893	0.11392218892218892	0.8860778110778113
RAD50	0.11392218892218892	0.8860778110778113
DYRK1A_ENST00000338785	0.11392218892218892	0.8860778110778113
SMAD4_ENST00000452201	0.11392218892218892	0.8860778110778113
IRF1	0.11392218892218892	0.8860778110778113
TRMT2A	0.11392218892218892	0.8860778110778113
TRIT1	0.11392218892218892	0.8860778110778113
OCIAD1	0.11392218892218892	0.8860778110778113
KLRG1	0.11392218892218892	0.8860778110778113
WDR45	0.11392218892218892	0.8860778110778113
CSTF1	0.11392218892218892	0.8860778110778113
STAU2	0.11392218892218892	0.8860778110778113
CBFB_ENST00000412916	0.11392218892218892	0.8860778110778113
SMAD2_ENST00000591214	0.11392218892218892	0.8860778110778113
MUCL1	0.11392218892218892	0.8860778110778113
TMEM55A	0.11392218892218892	0.8860778110778113
SRGAP3	0.11446521314942365	0.8855347868505764
LRRIQ3	0.11446521314942365	0.8855347868505764
KBTBD7	0.11446521314942365	0.8855347868505764
HCFC2	0.11446521314942365	0.8855347868505764
USP28	0.11446521314942365	0.8855347868505764
SH2B1_ENST00000359285	0.11446521314942365	0.8855347868505764
C3orf27	0.12510068704098554	0.8748993129590145
C7orf50	0.13354978354978356	0.8664502164502165
ID3	0.13354978354978356	0.8664502164502165
MKI67IP	0.13354978354978356	0.8664502164502165
CD58	0.13354978354978356	0.8664502164502165
ARL13B	0.13354978354978356	0.8664502164502165
CASP8_ENST00000358485	0.13354978354978356	0.8664502164502165
SOX9	0.13354978354978356	0.8664502164502165
TGFBR2_ENST00000359013	0.1340928077770183	0.8659071922229816
ZC3H11A	0.13614441114441114	0.8638555888555889
ZNF292	0.13614441114441114	0.8638555888555889
ZNF292_ENST00000369577	0.13614441114441114	0.8638555888555889
NFATC4_ENST00000556279	0.13614441114441114	0.8638555888555889
ANAPC4	0.13614441114441114	0.8638555888555889
USP9X	0.13614441114441114	0.8638555888555889
ZMYM4_ENST00000314607	0.13614441114441114	0.8638555888555889
TPX2	0.13614441114441114	0.8638555888555889
RTN4_ENST00000337526	0.13614441114441114	0.8638555888555889
CENPC1	0.13614441114441114	0.8638555888555889
PHF15_ENST00000448712	0.13614441114441114	0.8638555888555889
GCC2	0.13614441114441114	0.8638555888555889
KIAA0528	0.13614441114441114	0.8638555888555889
SMC6	0.13614441114441114	0.8638555888555889
CRSP3	0.13614441114441114	0.8638555888555889
TFE3_ENST00000336239	0.13614441114441114	0.8638555888555889
KIAA0528_ENST00000544930	0.13614441114441114	0.8638555888555889
ADAM33_ENST00000358035	0.13773171273171272	0.8622682872682873
PTMA	0.13773171273171272	0.8622682872682873
EIF1	0.13773171273171272	0.8622682872682873
TAF13	0.13773171273171272	0.8622682872682873
TMEM91_ENST00000544232	0.13773171273171272	0.8622682872682873
SORBS2	0.1381995163162854	0.8618004836837145
ENO3	0.1381995163162854	0.8618004836837145
KCNB1	0.1381995163162854	0.8618004836837145
SLC4A3	0.1381995163162854	0.8618004836837145
INF2_NEW	0.1381995163162854	0.8618004836837145
FYB_ENST00000540520	0.1381995163162854	0.8618004836837145
DDX26B_ENST00000370752	0.1381995163162854	0.8618004836837145
SAFB2	0.1381995163162854	0.8618004836837145
ZBTB1	0.1381995163162854	0.8618004836837145
MAST2_ENST00000361297	0.1381995163162854	0.8618004836837145
ZMIZ1	0.1381995163162854	0.8618004836837145
RPS6KA1_ENST00000531382	0.1381995163162854	0.8618004836837145
SH2D3A	0.1381995163162854	0.8618004836837145
TNRC6C	0.1381995163162854	0.8618004836837145
