	OG	TSG
TP53	0.0	1.0
TP53_ENST00000545858	0.0	1.0
TP53_ENST00000413465	0.0	1.0
PTEN	0.0	1.0
TP53_ENST00000414315	0.0	1.0
TP53_ENST00000269305	0.0	1.0
TP53_ENST00000455263	0.0	1.0
RB1_ENST00000267163	0.0	1.0
TP53_ENST00000420246	0.0	1.0
ATRX	0.0	1.0
ATRX_ENST00000373344	0.0	1.0
RB1	0.0	1.0
ATG5	0.03404255319148936	0.9659574468085106
FBXW7	0.03404255319148936	0.9659574468085106
TAS2R41	0.03404255319148936	0.9659574468085106
FBXW7_ENST00000296555	0.03404255319148936	0.9659574468085106
PCNX	0.03404255319148936	0.9659574468085106
FBXW7_NM_018315_2	0.03404255319148936	0.9659574468085106
CHIA	0.03404255319148936	0.9659574468085106
NONO	0.03404255319148936	0.9659574468085106
KIAA1267	0.03404255319148936	0.9659574468085106
TRAT1	0.03404255319148936	0.9659574468085106
PPP4R4	0.03404255319148936	0.9659574468085106
CHIA_ENST00000369740	0.03404255319148936	0.9659574468085106
STK31	0.03404255319148936	0.9659574468085106
FBXW7_ENST00000281708	0.03404255319148936	0.9659574468085106
KRT222	0.03404255319148936	0.9659574468085106
PPM1D	0.03404255319148936	0.9659574468085106
STAG2	0.037037037037037035	0.962962962962963
CLECL1	0.03783783783783784	0.9621621621621621
CDCP2	0.03783783783783784	0.9621621621621621
OR7G3	0.03783783783783784	0.9621621621621621
TRIP12	0.07107959022852639	0.9289204097714736
HLTF	0.07107959022852639	0.9289204097714736
ABCA4	0.07107959022852639	0.9289204097714736
MLL3_ENST00000355193	0.07107959022852639	0.9289204097714736
C3	0.07107959022852639	0.9289204097714736
FLG	0.07107959022852639	0.9289204097714736
FAT2	0.07107959022852639	0.9289204097714736
USP9X_ENST00000324545	0.07107959022852639	0.9289204097714736
RIMS2_ENST00000436393	0.07107959022852639	0.9289204097714736
ASXL1_ENST00000306058	0.07107959022852639	0.9289204097714736
DOPEY1	0.07107959022852639	0.9289204097714736
RELN	0.07107959022852639	0.9289204097714736
NF1	0.07107959022852639	0.9289204097714736
KDR	0.07107959022852639	0.9289204097714736
ASXL1	0.07107959022852639	0.9289204097714736
PTCH1_ENST00000331920	0.07107959022852639	0.9289204097714736
PRSS35	0.07107959022852639	0.9289204097714736
WWC1	0.07107959022852639	0.9289204097714736
MAP1S	0.07107959022852639	0.9289204097714736
SCN1A_ENST00000303395	0.07107959022852639	0.9289204097714736
BCOR	0.07107959022852639	0.9289204097714736
FILIP1	0.07107959022852639	0.9289204097714736
FER1L6	0.07107959022852639	0.9289204097714736
KMT2D	0.07107959022852639	0.9289204097714736
USP9X	0.07107959022852639	0.9289204097714736
PTCH1	0.07107959022852639	0.9289204097714736
ROS1	0.07107959022852639	0.9289204097714736
NF1_ENST00000358273	0.07107959022852639	0.9289204097714736
POLQ	0.07107959022852639	0.9289204097714736
PTCH1_ENST00000375274	0.07107959022852639	0.9289204097714736
STAG2_ENST00000218089	0.07107959022852639	0.9289204097714736
HEATR7B2	0.07107959022852639	0.9289204097714736
ABCF2	0.07107959022852639	0.9289204097714736
C9orf102	0.07107959022852639	0.9289204097714736
TEX15	0.07107959022852639	0.9289204097714736
PTCH1_ENST00000430669	0.07107959022852639	0.9289204097714736
HCN1	0.07107959022852639	0.9289204097714736
BCORL1	0.07107959022852639	0.9289204097714736
BCOR_ENST00000378463	0.07107959022852639	0.9289204097714736
UBE2D2	0.0718803910293272	0.9281196089706729
FASTKD1	0.0718803910293272	0.9281196089706729
EMP3	0.0718803910293272	0.9281196089706729
CDK19	0.0718803910293272	0.9281196089706729
LRRC36	0.0718803910293272	0.9281196089706729
DSCAM	0.0718803910293272	0.9281196089706729
MYO1B	0.0718803910293272	0.9281196089706729
C10orf113	0.0718803910293272	0.9281196089706729
MAP3K15	0.0718803910293272	0.9281196089706729
VEPH1_ENST00000494677	0.0718803910293272	0.9281196089706729
RASA3	0.0718803910293272	0.9281196089706729
CASZ1	0.0718803910293272	0.9281196089706729
SELP	0.0718803910293272	0.9281196089706729
LRRIQ3	0.0718803910293272	0.9281196089706729
DMRTC2	0.0718803910293272	0.9281196089706729
SLFN11	0.0718803910293272	0.9281196089706729
PTGS2	0.0718803910293272	0.9281196089706729
KIAA1751	0.0718803910293272	0.9281196089706729
PROCR	0.0718803910293272	0.9281196089706729
KRT2	0.0718803910293272	0.9281196089706729
APOL4_ENST00000352371	0.0718803910293272	0.9281196089706729
TGM4	0.0718803910293272	0.9281196089706729
RBCK1_ENST00000356286	0.0718803910293272	0.9281196089706729
UNC13C	0.0718803910293272	0.9281196089706729
SLC45A1	0.0718803910293272	0.9281196089706729
MYEOV	0.0718803910293272	0.9281196089706729
CD86	0.0718803910293272	0.9281196089706729
PHLPP1_ENST00000262719	0.0718803910293272	0.9281196089706729
DOCK10	0.0718803910293272	0.9281196089706729
ZFP82	0.0718803910293272	0.9281196089706729
PKP4	0.0718803910293272	0.9281196089706729
DYX1C1	0.0718803910293272	0.9281196089706729
PTPRB_ENST00000334414	0.0718803910293272	0.9281196089706729
METTL4	0.0718803910293272	0.9281196089706729
NFASC	0.0718803910293272	0.9281196089706729
HIST1H2AG	0.0718803910293272	0.9281196089706729
SH3BP5L_ENST00000411742	0.0718803910293272	0.9281196089706729
TRPS1	0.0718803910293272	0.9281196089706729
KMO	0.0718803910293272	0.9281196089706729
RPAP1	0.0718803910293272	0.9281196089706729
C7orf45	0.0718803910293272	0.9281196089706729
ZNF878_ENST00000602107	0.0718803910293272	0.9281196089706729
SELPLG_ENST00000550948	0.0718803910293272	0.9281196089706729
HEATR2	0.0718803910293272	0.9281196089706729
KIAA1033	0.0718803910293272	0.9281196089706729
TRIM71	0.0718803910293272	0.9281196089706729
KRT82	0.0718803910293272	0.9281196089706729
ACE_ENST00000290863	0.0718803910293272	0.9281196089706729
ADCYAP1R1	0.0718803910293272	0.9281196089706729
SYNE1	0.0718803910293272	0.9281196089706729
C11orf30	0.0718803910293272	0.9281196089706729
MYLK4	0.0718803910293272	0.9281196089706729
SLC16A2	0.0718803910293272	0.9281196089706729
ZNF470	0.0718803910293272	0.9281196089706729
HLA-B	0.0718803910293272	0.9281196089706729
SLC6A14	0.0718803910293272	0.9281196089706729
ZNF652	0.0718803910293272	0.9281196089706729
DHX32	0.0718803910293272	0.9281196089706729
ZNF20	0.0718803910293272	0.9281196089706729
KIDINS220_ENST00000319688	0.0718803910293272	0.9281196089706729
ZNF3	0.0718803910293272	0.9281196089706729
ZNF382	0.0718803910293272	0.9281196089706729
DND1	0.0718803910293272	0.9281196089706729
PLEKHG4	0.0718803910293272	0.9281196089706729
TLN1	0.0718803910293272	0.9281196089706729
C2CD3_ENST00000334126	0.0718803910293272	0.9281196089706729
PVRL1	0.0718803910293272	0.9281196089706729
AGBL3	0.0718803910293272	0.9281196089706729
GPBP1_ENST00000538707	0.0718803910293272	0.9281196089706729
KCNMB3_ENST00000497599	0.0718803910293272	0.9281196089706729
DCAF13	0.0718803910293272	0.9281196089706729
AREG	0.0718803910293272	0.9281196089706729
PSG6	0.0718803910293272	0.9281196089706729
C9orf85_ENST00000377031	0.0718803910293272	0.9281196089706729
STRN3	0.0718803910293272	0.9281196089706729
PRKRA	0.0718803910293272	0.9281196089706729
MED29	0.0718803910293272	0.9281196089706729
SIRT5_ENST00000379262	0.0718803910293272	0.9281196089706729
TSGA10	0.0718803910293272	0.9281196089706729
BMP4	0.0718803910293272	0.9281196089706729
HDAC4_ENST00000541256	0.0718803910293272	0.9281196089706729
RABGAP1_ENST00000373647	0.0718803910293272	0.9281196089706729
GPBP1L1	0.0718803910293272	0.9281196089706729
ABLIM1	0.0718803910293272	0.9281196089706729
PTCHD3	0.0718803910293272	0.9281196089706729
NF2	0.0718803910293272	0.9281196089706729
BUB3_ENST00000368865	0.0718803910293272	0.9281196089706729
DRD2	0.0718803910293272	0.9281196089706729
FBXO7_ENST00000266087	0.0718803910293272	0.9281196089706729
CUL1	0.0718803910293272	0.9281196089706729
INADL_ENST00000543708	0.0718803910293272	0.9281196089706729
GIMAP4_ENST00000479232	0.0718803910293272	0.9281196089706729
TSNAXIP1	0.0718803910293272	0.9281196089706729
MDN1	0.0718803910293272	0.9281196089706729
FKBP15	0.0718803910293272	0.9281196089706729
LGALS9B	0.0718803910293272	0.9281196089706729
SLC12A1_ENST00000396577	0.0718803910293272	0.9281196089706729
CIB1	0.0718803910293272	0.9281196089706729
HELB	0.0718803910293272	0.9281196089706729
ACSS1_ENST00000542618	0.0718803910293272	0.9281196089706729
HNF4A_ENST00000443598	0.0718803910293272	0.9281196089706729
BRWD3	0.0718803910293272	0.9281196089706729
UCKL1	0.0718803910293272	0.9281196089706729
KRT23	0.0718803910293272	0.9281196089706729
PCDH1_ENST00000394536	0.0718803910293272	0.9281196089706729
KRT37	0.0718803910293272	0.9281196089706729
CCDC96	0.0718803910293272	0.9281196089706729
AGAP1	0.0718803910293272	0.9281196089706729
PTPN7	0.0718803910293272	0.9281196089706729
FUT8_ENST00000360689	0.0718803910293272	0.9281196089706729
PPP2R5C	0.0718803910293272	0.9281196089706729
CLDN9	0.0718803910293272	0.9281196089706729
PROX2_ENST00000445876	0.0718803910293272	0.9281196089706729
MAN2B2	0.0718803910293272	0.9281196089706729
C16orf88	0.0718803910293272	0.9281196089706729
FLII	0.0718803910293272	0.9281196089706729
PAFAH1B2_ENST00000527958	0.0718803910293272	0.9281196089706729
RFX2	0.0718803910293272	0.9281196089706729
HSD3B1	0.0718803910293272	0.9281196089706729
HHATL	0.0718803910293272	0.9281196089706729
TGFBR2_ENST00000359013	0.0718803910293272	0.9281196089706729
LZTR1	0.0718803910293272	0.9281196089706729
SLC6A7	0.0718803910293272	0.9281196089706729
GOLGA1	0.0718803910293272	0.9281196089706729
ANKRD24	0.0718803910293272	0.9281196089706729
C9orf85	0.0718803910293272	0.9281196089706729
LRP6	0.0718803910293272	0.9281196089706729
MMS22L	0.0718803910293272	0.9281196089706729
PPP2R1B	0.0718803910293272	0.9281196089706729
APH1A	0.0718803910293272	0.9281196089706729
PSENEN	0.0718803910293272	0.9281196089706729
KLHL4	0.0718803910293272	0.9281196089706729
TMC7	0.0718803910293272	0.9281196089706729
GADD45GIP1	0.0718803910293272	0.9281196089706729
DOCK4_ENST00000437633	0.0718803910293272	0.9281196089706729
RBM18	0.0718803910293272	0.9281196089706729
OR4K14	0.0718803910293272	0.9281196089706729
SLC2A4RG	0.0718803910293272	0.9281196089706729
KIAA1683_ENST00000392413	0.0718803910293272	0.9281196089706729
HMX2	0.0718803910293272	0.9281196089706729
C12orf40	0.0718803910293272	0.9281196089706729
KIAA0947_ENST00000296564	0.0718803910293272	0.9281196089706729
TLR2	0.0718803910293272	0.9281196089706729
MED12_ENST00000374080	0.0718803910293272	0.9281196089706729
TCF4_ENST00000398339	0.0718803910293272	0.9281196089706729
VCPIP1	0.0718803910293272	0.9281196089706729
RBPJ_ENST00000348160	0.0718803910293272	0.9281196089706729
PCDHGA4	0.0718803910293272	0.9281196089706729
ZPBP	0.0718803910293272	0.9281196089706729
FOXF1_ENST00000262426	0.0718803910293272	0.9281196089706729
SRBD1	0.0718803910293272	0.9281196089706729
CNTNAP5	0.0718803910293272	0.9281196089706729
VN1R4	0.0718803910293272	0.9281196089706729
RPAP3	0.0718803910293272	0.9281196089706729
BMF	0.0718803910293272	0.9281196089706729
CCDC60	0.0718803910293272	0.9281196089706729
NRXN1	0.0718803910293272	0.9281196089706729
BANK1	0.0718803910293272	0.9281196089706729
C14orf39	0.0718803910293272	0.9281196089706729
SCRN3_ENST00000409673	0.0718803910293272	0.9281196089706729
MCAM	0.0718803910293272	0.9281196089706729
DCP1B_ENST00000397173	0.0718803910293272	0.9281196089706729
FAM81B	0.0718803910293272	0.9281196089706729
FCRL2	0.0718803910293272	0.9281196089706729
ZP2	0.0718803910293272	0.9281196089706729
BCL2L13	0.0718803910293272	0.9281196089706729
MFHAS1	0.0718803910293272	0.9281196089706729
CRYBG3	0.0718803910293272	0.9281196089706729
RAF1	0.0718803910293272	0.9281196089706729
FAAH	0.0718803910293272	0.9281196089706729
