Gene name	Max score_0	Label_0	top_stat_0	Max score_1	Label_1	top_stat_1	Max score_2	Label_2	top_stat_2	Max score_3	Label_3	top_stat_3	Max score_4	Label_4	top_stat_4	Label
A1BG	0.7079760786156135	TSG	0	0.6543546233755974	TSG	0	0.7348199478796493	TSG	1	0.9281196089706729	TSG	1	0.5622708325117584	OG	0	TSG
A1CF	0.7757492403403882	TSG	1	0.6403084473294214	TSG	0	0.7332326462923477	TSG	1	0.9281196089706729	TSG	1	0.5836623596676723	TSG	0	TSG
A1CF_ENST00000282641	0.7098279304674654	TSG	0	0.5942603373637856	TSG	0	0.7332326462923477	TSG	1	0.7659574468085106	TSG	0	0.6013329340533102	TSG	0	TSG
A1CF_ENST00000373995	0.7757492403403882	TSG	1	0.6403084473294214	TSG	0	0.7332326462923477	TSG	1	0.9281196089706729	TSG	1	0.5836623596676723	TSG	0	TSG
A2LD1	0.6144050078619246	TSG	0	0.7503084473294214	TSG	1	0.5214025635404994	TSG	0	0.8373860182370821	TSG	0	0.6349434940851466	TSG	0	TSG
A2M	0.5728052488711404	TSG	0	0.5329191498157015	OG	0	0.5718092233940166	TSG	0	0.7659574468085106	TSG	0	0.5288100604216245	TSG	0	Unlabelled
A2ML1	0.6387265587440631	TSG	0	0.6003084473294213	TSG	0	0.581521611159547	TSG	0	0.9281196089706729	TSG	1	0.6040439976970048	TSG	0	TSG
A4GNT	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.5010180713801354	OG	0	0.8373860182370821	TSG	0	0.5355680182604953	OG	0	Unlabelled
AAAS	0.5208444018013187	TSG	0	0.5442603373637855	TSG	0	0.5549863253483894	OG	0	0.7659574468085106	TSG	0	0.525586167080822	OG	0	Unlabelled
AACS	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6645687582794142	OG	1	OG
AADAC	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6645687582794142	OG	1	OG
AADACL2	0.6144050078619246	TSG	0	0.5903084473294213	TSG	0	0.635489865127801	TSG	0	0.8373860182370821	TSG	0	0.5233258048681532	OG	0	Unlabelled
AADACL2_ENST00000356517	0.5484836979890019	TSG	0	0.5442603373637855	TSG	0	0.635489865127801	TSG	0	0.6340425531914893	OG	0	0.5800847768252986	OG	0	Unlabelled
AADACL3	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6645687582794142	OG	1	OG
AADACL3_ENST00000359318	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6645687582794142	OG	1	OG
AADACL4	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.5010180713801354	OG	0	0.8373860182370821	TSG	0	0.5355680182604953	OG	0	Unlabelled
AADAT	0.5055260204383011	TSG	0	0.5664603595638079	TSG	0	0.5919289645682835	TSG	0	0.671839799749687	TSG	0	0.6545869070997409	OG	0	Unlabelled
AAGAB	0.5714473303112239	TSG	0	0.7055555555555555	OG	0	0.5084254814172305	OG	0	0.9281196089706729	TSG	1	0.5462275171338394	OG	0	TSG
AAK1	0.6144050078619246	TSG	0	0.5903084473294213	TSG	0	0.635489865127801	TSG	0	0.8373860182370821	TSG	0	0.5233258048681532	OG	0	Unlabelled
AAK1_ENST00000409085	0.6144050078619246	TSG	0	0.5903084473294213	TSG	0	0.581521611159547	TSG	0	0.8373860182370821	TSG	0	0.5233258048681532	OG	0	Unlabelled
AAMP	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6645687582794142	OG	1	OG
AARS	0.7757492403403882	TSG	1	0.6403084473294214	TSG	0	0.7332326462923477	TSG	1	0.9281196089706729	TSG	1	0.5780549466880944	TSG	0	TSG
AARS2	0.7757492403403882	TSG	1	0.5596915526705787	OG	0	0.7332326462923477	TSG	1	0.9281196089706729	TSG	1	0.5407846410475001	TSG	0	TSG
AARSD1	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.5010180713801354	OG	0	0.8373860182370821	TSG	0	0.5355680182604953	OG	0	Unlabelled
AASDH	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.5549863253483894	OG	0	0.8373860182370821	TSG	0	0.5355680182604953	OG	0	Unlabelled
AASDHPPT	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.5010180713801354	OG	0	0.8373860182370821	TSG	0	0.5654548734643694	OG	0	Unlabelled
AASDH_ENST00000502617	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.5010180713801354	OG	0	0.8373860182370821	TSG	0	0.5355680182604953	OG	0	Unlabelled
AASS	0.8599015744927222	TSG	1	0.6403084473294214	TSG	0	0.6231658125413034	TSG	0	0.9281196089706729	TSG	1	0.5718089113918102	TSG	0	TSG
AATK	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.6475443684661342	OG	0	0.8373860182370821	TSG	0	0.6017086045223377	OG	0	Unlabelled
AATK_ENST00000326724	0.5450769080716041	OG	0	0.5429191498157016	OG	0	0.6475443684661342	OG	0	0.6340425531914893	OG	0	0.6584675764794831	OG	0	Unlabelled
ABAT	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6645687582794142	OG	1	OG
ABCA1	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.5549863253483894	OG	0	0.8373860182370821	TSG	0	0.5654548734643694	OG	0	Unlabelled
ABCA10	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.6475443684661342	OG	0	0.8373860182370821	TSG	0	0.5785316684002348	OG	0	Unlabelled
ABCA12	0.6387265587440631	TSG	0	0.6791130450305708	TSG	0	0.5718092233940166	TSG	0	0.8225640534151173	TSG	0	0.524449121400768	TSG	0	Unlabelled
ABCA12_ENST00000389661	0.6387265587440631	TSG	0	0.5070808501842985	TSG	0	0.5718092233940166	TSG	0	0.7659574468085106	TSG	0	0.5962133416041897	TSG	0	Unlabelled
ABCA13	0.5208444018013187	TSG	0	0.6170808501842984	TSG	0	0.5549863253483894	OG	0	0.7659574468085106	TSG	0	0.5133608436686956	TSG	0	Unlabelled
ABCA13_ENST00000435803	0.5208444018013187	TSG	0	0.7244463783639041	TSG	0	0.5549863253483894	OG	0	0.8373860182370821	TSG	0	0.5095294260441746	TSG	0	Unlabelled
ABCA1_ENST00000423487	0.66500793637183	TSG	0	0.7055555555555555	OG	0	0.5455427725510235	TSG	0	0.9281196089706729	TSG	1	0.5139311846644237	TSG	0	TSG
ABCA2	0.7757492403403882	TSG	1	0.6403084473294214	TSG	0	0.7332326462923477	TSG	1	0.9281196089706729	TSG	1	0.5407846410475001	TSG	0	TSG
ABCA3	0.7476839683235031	TSG	0	0.5496879567089308	TSG	0	0.5306077694235589	TSG	0	0.9281196089706729	TSG	1	0.5460116953752575	OG	0	TSG
ABCA4	0.6387265587440631	TSG	0	0.5542603373637857	TSG	0	0.5214025635404994	TSG	0	0.7659574468085106	TSG	0	0.5814320347798656	TSG	0	Unlabelled
ABCA4_ENST00000535735	0.6387265587440631	TSG	0	0.6003084473294213	TSG	0	0.5753708175087534	TSG	0	0.8373860182370821	TSG	0	0.5810028397045726	TSG	0	Unlabelled
ABCA5	0.6635316341711691	TSG	0	0.5238258877434135	TSG	0	0.5306077694235589	TSG	0	0.8225640534151173	TSG	0	0.5690163204626676	OG	0	Unlabelled
ABCA6	0.5055260204383011	TSG	0	0.5664603595638079	TSG	0	0.5379607106000295	TSG	0	0.671839799749687	TSG	0	0.6545869070997409	OG	0	Unlabelled
ABCA7	0.6893294872539685	TSG	0	0.5835396404361921	OG	0	0.7227284446116755	TSG	0	0.7659574468085106	TSG	0	0.5478949756131754	TSG	0	Unlabelled
ABCA8	0.6144050078619246	TSG	0	0.5442603373637855	TSG	0	0.581521611159547	TSG	0	0.8373860182370821	TSG	0	0.5211388049322097	TSG	0	Unlabelled
ABCA8_ENST00000430352	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.635489865127801	TSG	0	0.8373860182370821	TSG	0	0.5126616143196085	OG	0	Unlabelled
ABCA9	0.6144050078619246	TSG	0	0.5903084473294213	TSG	0	0.581521611159547	TSG	0	0.8373860182370821	TSG	0	0.5111569537525364	TSG	0	Unlabelled
ABCB1	0.6893294872539685	TSG	0	0.5161741122565865	OG	0	0.5084254814172305	OG	0	0.9281196089706729	TSG	1	0.6637335968581224	OG	0	TSG
ABCB10	0.8201936847848326	TSG	1	0.704975113996088	TSG	0	0.6747009002606017	TSG	0	0.9281196089706729	TSG	1	0.5451375045318239	TSG	0	TSG
ABCB11	0.7757492403403882	TSG	1	0.5596915526705787	OG	0	0.7332326462923477	TSG	1	0.9281196089706729	TSG	1	0.5407846410475001	TSG	0	TSG
ABCB11_ENST00000263817	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6645687582794142	OG	1	OG
ABCB4	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.6475443684661342	OG	0	0.8373860182370821	TSG	0	0.6017086045223377	OG	0	Unlabelled
ABCB4_ENST00000265723	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6645687582794142	OG	1	OG
ABCB5	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.5549863253483894	OG	0	0.8373860182370821	TSG	0	0.5355680182604953	OG	0	Unlabelled
