	OG	TSG
TP53	0.16781984159751506	0.8321801584024849
TP53_ENST00000414315	0.17046931738929297	0.829530682610707
TP53_ENST00000269305	0.17550856480347968	0.8244914351965204
TP53_ENST00000420246	0.20230260021820473	0.7976973997817953
TP53_ENST00000413465	0.2096225394250095	0.7903774605749906
ROBO2_ENST00000487694	0.21319798049107855	0.7868020195089215
SOX9	0.2211065722687776	0.7788934277312223
TP53_ENST00000455263	0.22367107071492007	0.7763289292850799
FBXW7_NM_018315_2	0.2260508874782913	0.7739491125217086
CRIPAK	0.2352977619719718	0.7647022380280282
TCF7L2_ENST00000543371	0.23779124040135732	0.7622087595986426
FBXW7_ENST00000281708	0.2386665308761046	0.7613334691238954
FBXW7	0.2386665308761046	0.7613334691238954
NRXN1_ENST00000406316	0.2404516632475602	0.7595483367524397
FAM182A_ENST00000415411	0.253118555626412	0.7468814443735878
TP53_ENST00000545858	0.2558653432928741	0.744134656707126
PLEC_ENST00000354958	0.25632324615152785	0.7436767538484721
B2M	0.2601478566516449	0.7398521433483551
RIMBP2	0.2642841455931575	0.7357158544068424
CDC27	0.26742669743236963	0.7325733025676302
ZFHX4_ENST00000050961	0.2702329271641554	0.7297670728358445
FBXL7	0.2755669820369429	0.724433017963057
FAM182A	0.27615839262993014	0.7238416073700698
FBXW7_ENST00000534231	0.2762347175215132	0.7237652824784867
PLEC_ENST00000345136	0.2762466177990374	0.7237533822009624
FBXW7_ENST00000296555	0.27985779873080124	0.7201422012691987
GRM3	0.28987104776627226	0.7101289522337276
LAMB2	0.29029614426235695	0.7097038557376428
ZNF536	0.294380021349656	0.7056199786503439
UNC13C	0.29595143444368466	0.7040485655563153
SMAD4	0.2969914484661977	0.7030085515338023
HLA-A	0.2979340304733077	0.7020659695266922
AHNAK2_ENST00000333244	0.30065681113042864	0.6993431888695715
PTEN	0.3009862655694549	0.699013734430545
PLEC_ENST00000436759	0.3015580611764478	0.6984419388235521
PCDHGB1	0.3016128076774227	0.6983871923225774
B2M_ENST00000544417	0.3023193384782991	0.6976806615217008
ZFP36L2	0.3026609143561728	0.6973390856438272
ENSG00000121031	0.3029585562940957	0.6970414437059043
PLEC_ENST00000357649	0.3037911625711421	0.6962088374288579
TCF7L2	0.3047932083377817	0.6952067916622181
DEFB112	0.3061099251696114	0.6938900748303886
ANKRD11	0.30624175545651755	0.6937582445434824
PCDHGA12_ENST00000252085	0.30667387442311933	0.6933261255768806
FAM104B_ENST00000425133	0.3070171350412403	0.6929828649587597
GLI3	0.3077410058313302	0.6922589941686698
ZNF493	0.307747747700932	0.692252252299068
MLL2_ENST00000301067	0.30976862696591373	0.6902313730340863
FGF13	0.3113564186169366	0.6886435813830631
HIST1H1E	0.31277904163325865	0.6872209583667415
PCLO	0.3136884234718354	0.6863115765281645
NBEAL2_ENST00000450053	0.3158525968053163	0.6841474031946836
FAM104B	0.3160104049628679	0.683989595037132
PXDN	0.3161635678817175	0.6838364321182825
TRPS1_ENST00000395715	0.3164508264073842	0.6835491735926158
SCN3B	0.3178152878154577	0.6821847121845422
CXCL5	0.31825732422473874	0.6817426757752612
COL6A3	0.3193700572450194	0.6806299427549806
TRPS1	0.3199215901026868	0.6800784098973133
CSMD1_ENST00000537824	0.3200909600271717	0.6799090399728283
CDH10	0.3209753590361083	0.6790246409638916
SYNE1_ENST00000448038	0.3214454126722867	0.6785545873277133
FLG	0.32175010900142065	0.6782498909985792
IRS4	0.32192124080499473	0.6780787591950052
PRRC2B_ENST00000357304	0.32192124080499473	0.6780787591950052
SACS	0.3225381888734067	0.6774618111265933
COL5A1	0.322687572268313	0.6773124277316869
SYNE1_ENST00000423061	0.3243772579925852	0.6756227420074148
TCF7L2_ENST00000355717	0.32446037255632537	0.6755396274436747
CCDC40_ENST00000374877	0.3252476190746052	0.6747523809253948
EBF3_ENST00000355311	0.3259152029658458	0.6740847970341541
SYNE1_ENST00000341594	0.32596876992892476	0.6740312300710752
CACNA1C	0.32789403357431296	0.672105966425687
LINC00273_ENST00000539813	0.3280749364894357	0.6719250635105641
C2orf71	0.3297677425464265	0.6702322574535735
RNF43	0.3300315487564554	0.6699684512435445
CST4	0.3300979311666129	0.6699020688333871
COL18A1_ENST00000359759	0.33042372757409866	0.6695762724259013
PCDH17	0.3309678728325891	0.6690321271674108
ZC3H13	0.3313211405442894	0.6686788594557107
RPS6KA2_ENST00000510118	0.3318079740399775	0.6681920259600224
TGIF1	0.3334826757368282	0.6665173242631717
ROR2	0.3346150739235296	0.6653849260764703
DMD_ENST00000378677	0.3360522365845726	0.6639477634154273
TRPM3_ENST00000377110	0.3360692430916674	0.6639307569083325
CSMD1_ENST00000318252	0.3367087421080118	0.663291257891988
ZNF493_ENST00000392288	0.33699843811164115	0.6630015618883587
ATP2B3_ENST00000263519	0.33707275595650993	0.66292724404349
ZNF665_ENST00000396424	0.33707275595650993	0.66292724404349
ATP2B3	0.3373535931237301	0.6626464068762699
CARD11	0.33759054126610966	0.6624094587338902
SLC4A2	0.33769667476633575	0.6623033252336642
C12orf67	0.33839404667031314	0.6616059533296867
PLEC	0.3385649568577799	0.66143504314222
FLRT2	0.3386822710941751	0.6613177289058249
BCL9L	0.3389872322203953	0.6610127677796046
RYR1	0.3393758383825699	0.66062416161743
MLL4	0.3396225453974184	0.6603774546025817
