Gene name	Max score_0	Label_0	top_stat_0	Max score_1	Label_1	top_stat_1	Max score_2	Label_2	top_stat_2	Max score_3	Label_3	top_stat_3	Max score_4	Label_4	top_stat_4	Label
39340	0.6144050078619246	TSG	0	0.7503084473294214	TSG	1	0.5214025635404994	TSG	0	0.8373860182370821	TSG	0	0.5889280109283104	TSG	0	TSG
A1BG	0.6569575830234745	TSG	0	0.6929191498157016	OG	0	0.5207488197237279	OG	0	0.7659574468085106	TSG	0	0.5121740527311902	OG	0	Unlabelled
A1CF	0.6049967359536529	TSG	0	0.5442603373637855	TSG	0	0.581521611159547	TSG	0	0.7659574468085106	TSG	0	0.5594436888693782	OG	0	Unlabelled
A1CF_ENST00000282641	0.6049967359536529	TSG	0	0.5903084473294213	TSG	0	0.581521611159547	TSG	0	0.8373860182370821	TSG	0	0.5456069719769064	OG	0	Unlabelled
A1CF_ENST00000373995	0.6049967359536529	TSG	0	0.5442603373637855	TSG	0	0.581521611159547	TSG	0	0.7659574468085106	TSG	0	0.5594436888693782	OG	0	Unlabelled
A2M	0.6049967359536529	TSG	0	0.6170808501842984	TSG	0	0.5549863253483894	OG	0	0.7659574468085106	TSG	0	0.5507996550306837	OG	0	Unlabelled
A2ML1	0.5556542348254374	TSG	0	0.7503084473294214	TSG	1	0.581521611159547	TSG	0	0.8373860182370821	TSG	0	0.5463602568906222	TSG	0	TSG
A3GALT2P	0.5055260204383011	TSG	0	0.5664603595638079	TSG	0	0.5919289645682835	TSG	0	0.671839799749687	TSG	0	0.6768680742084942	OG	0	Unlabelled
A4D226_HUMAN	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6868499253881676	OG	0	Unlabelled
A4GALT	0.6049967359536529	TSG	0	0.5903084473294213	TSG	0	0.5010180713801354	OG	0	0.8373860182370821	TSG	0	0.6222187991938124	OG	0	Unlabelled
A4GNT	0.6144050078619246	TSG	0	0.5903084473294213	TSG	0	0.635489865127801	TSG	0	0.8373860182370821	TSG	0	0.5456069719769064	OG	0	Unlabelled
AAAS	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5379607106000295	TSG	0	0.8340019619118493	TSG	0	0.7213326840088572	OG	1	OG
AACS	0.7228788928963973	TSG	0	0.6003084473294213	TSG	0	0.681876057145061	TSG	0	0.9281196089706729	TSG	1	0.5081867564089989	OG	0	TSG
AADAC	0.8599015744927222	TSG	1	0.7575498266397662	TSG	1	0.6632783882783883	TSG	0	0.823364854215918	TSG	0	0.5670192486951336	TSG	0	TSG
AADACL2	0.6215770864848313	OG	0	0.5442603373637855	TSG	0	0.5411695865316507	OG	0	0.7666666666666667	OG	0	0.6090464220649925	OG	0	Unlabelled
AADACL2_ENST00000356517	0.5280164804242252	OG	0	0.5644463783639042	TSG	0	0.5010180713801354	OG	0	0.5047619047619047	TSG	0	0.541755244350827	TSG	0	Unlabelled
AADACL3	0.5896783545906353	TSG	0	0.7055555555555555	OG	0	0.5455427725510235	TSG	0	0.7281196089706728	TSG	0	0.6474510988913479	OG	0	Unlabelled
AADACL3_ENST00000359318	0.6049967359536529	TSG	0	0.5442603373637855	TSG	0	0.635489865127801	TSG	0	0.7659574468085106	TSG	0	0.5594436888693782	OG	0	Unlabelled
AADACL4	0.6049967359536529	TSG	0	0.5903084473294213	TSG	0	0.635489865127801	TSG	0	0.8373860182370821	TSG	0	0.5694255400490517	OG	0	Unlabelled
AADAT	0.5896783545906353	TSG	0	0.5664603595638079	TSG	0	0.5379607106000295	TSG	0	0.671839799749687	TSG	0	0.7113508328291839	OG	0	Unlabelled
AAGAB	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6868499253881676	OG	0	Unlabelled
AAK1	0.6049967359536529	TSG	0	0.5903084473294213	TSG	0	0.5549863253483894	OG	0	0.8373860182370821	TSG	0	0.6190282732446658	OG	0	Unlabelled
AAK1_ENST00000409085	0.6049967359536529	TSG	0	0.5903084473294213	TSG	0	0.5549863253483894	OG	0	0.8373860182370821	TSG	0	0.6222187991938124	OG	0	Unlabelled
AAMP	0.6049967359536529	TSG	0	0.5903084473294213	TSG	0	0.5010180713801354	OG	0	0.8373860182370821	TSG	0	0.5923319439899383	OG	0	Unlabelled
AANAT	0.6049967359536529	TSG	0	0.5903084473294213	TSG	0	0.5010180713801354	OG	0	0.8373860182370821	TSG	0	0.5923319439899383	OG	0	Unlabelled
AANAT_ENST00000250615	0.6049967359536529	TSG	0	0.5903084473294213	TSG	0	0.5010180713801354	OG	0	0.8373860182370821	TSG	0	0.5923319439899383	OG	0	Unlabelled
AARS	0.6049967359536529	TSG	0	0.5903084473294213	TSG	0	0.5010180713801354	OG	0	0.8373860182370821	TSG	0	0.6090464220649925	OG	0	Unlabelled
