	OG	TSG
CDKN2A	0.07799422799422799	0.922005772005772
TP53_ENST00000455263	0.09798169666590718	0.9020183033340928
TP53_ENST00000269305	0.09798169666590718	0.9020183033340928
TP53_ENST00000413465	0.09798169666590718	0.9020183033340928
PHB2	0.145552457492756	0.8544475425072441
PHB2_ENST00000535923	0.145552457492756	0.8544475425072441
TP53_ENST00000420246	0.15353725222146272	0.8464627477785373
TP53	0.15353725222146272	0.8464627477785373
KRTAP4-2_ENST00000458321	0.1594144125311816	0.8405855874688184
SMAD4_ENST00000452201	0.1594413463816449	0.8405586536183551
CFTR	0.1667673537076522	0.8332326462923477
SOX9	0.1667673537076522	0.8332326462923477
HYDIN_ENST00000288168	0.1667673537076522	0.8332326462923477
HEPN1	0.18166356860386712	0.818336431396133
SMARCE1_ENST00000348513	0.18166356860386712	0.818336431396133
MRPL20	0.18166356860386712	0.818336431396133
RGS21	0.18166356860386712	0.818336431396133
C6orf125	0.18166356860386712	0.818336431396133
VSNL1	0.18166356860386712	0.818336431396133
SPINK2	0.18166356860386712	0.818336431396133
MARCKS	0.18166356860386712	0.818336431396133
TTC35	0.18166356860386712	0.818336431396133
PRM2	0.18166356860386712	0.818336431396133
SH3BGRL3_ENST00000319041	0.18166356860386712	0.818336431396133
RPS28	0.18166356860386712	0.818336431396133
MAP1LC3C	0.18166356860386712	0.818336431396133
STARD4	0.18166356860386712	0.818336431396133
C3orf35	0.18166356860386712	0.818336431396133
CDC42EP5	0.18166356860386712	0.818336431396133
OPALIN	0.18166356860386712	0.818336431396133
OPALIN_ENST00000419479	0.18166356860386712	0.818336431396133
UBE2G1	0.18166356860386712	0.818336431396133
GM2A	0.18166356860386712	0.818336431396133
RAD23B_ENST00000457811	0.18166356860386712	0.818336431396133
PAGE5	0.18166356860386712	0.818336431396133
MGST3	0.18166356860386712	0.818336431396133
SSBP1	0.18166356860386712	0.818336431396133
C22orf40	0.18166356860386712	0.818336431396133
ENSG00000233863	0.18166356860386712	0.818336431396133
SEC61B	0.18166356860386712	0.818336431396133
WDR77_ENST00000449340	0.18166356860386712	0.818336431396133
TRIT1_ENST00000544981	0.18166356860386712	0.818336431396133
CD7	0.18166356860386712	0.818336431396133
YPEL5	0.18166356860386712	0.818336431396133
TRIT1	0.18166356860386712	0.818336431396133
SH3BGRL3	0.18166356860386712	0.818336431396133
PHLDA2	0.18166356860386712	0.818336431396133
LYRM1	0.18166356860386712	0.818336431396133
ROPN1B	0.18166356860386712	0.818336431396133
RPS13	0.18166356860386712	0.818336431396133
TMEM234	0.18166356860386712	0.818336431396133
FAM18A	0.18166356860386712	0.818336431396133
SPRR4	0.18166356860386712	0.818336431396133
CTSC_ENST00000524463	0.18166356860386712	0.818336431396133
TMEM78	0.18166356860386712	0.818336431396133
GAMT_ENST00000447102	0.18166356860386712	0.818336431396133
MTERF	0.18166356860386712	0.818336431396133
TXNL1	0.18166356860386712	0.818336431396133
GAS2	0.18166356860386712	0.818336431396133
ENSG00000183096	0.18166356860386712	0.818336431396133
KCTD7	0.18166356860386712	0.818336431396133
C1orf146	0.18166356860386712	0.818336431396133
C15orf60	0.18166356860386712	0.818336431396133
JOSD1	0.18166356860386712	0.818336431396133
OR2T35	0.18166356860386712	0.818336431396133
KRTAP19-2	0.18166356860386712	0.818336431396133
SIRPB2	0.18166356860386712	0.818336431396133
C3orf35_ENST00000452017	0.18166356860386712	0.818336431396133
LOC57149	0.18166356860386712	0.818336431396133
C6orf136	0.18166356860386712	0.818336431396133
NUPR1	0.18166356860386712	0.818336431396133
GAMT	0.18166356860386712	0.818336431396133
CXCL11	0.18166356860386712	0.818336431396133
TFF2	0.18166356860386712	0.818336431396133
Q5JXA8_HUMAN	0.18166356860386712	0.818336431396133
C1orf100	0.18166356860386712	0.818336431396133
LGALS14_ENST00000392052	0.18166356860386712	0.818336431396133
PMAIP1	0.18166356860386712	0.818336431396133
IL32	0.18166356860386712	0.818336431396133
S100G_ENST00000380200	0.18166356860386712	0.818336431396133
TMEM68_ENST00000521229	0.18166356860386712	0.818336431396133
PABPN1	0.18166356860386712	0.818336431396133
TMEM41A	0.18166356860386712	0.818336431396133
UCMA	0.18166356860386712	0.818336431396133
hCG_1757335	0.18166356860386712	0.818336431396133
C3orf35_ENST00000426078	0.18166356860386712	0.818336431396133
FAM160B1_ENST00000411414	0.18166356860386712	0.818336431396133
MSMP	0.18166356860386712	0.818336431396133
ZNF3_ENST00000413658	0.18166356860386712	0.818336431396133
DSTN	0.18166356860386712	0.818336431396133
SHC1_ENST00000444664	0.18166356860386712	0.818336431396133
S100G	0.18166356860386712	0.818336431396133
THAP5	0.1832508701911687	0.8167491298088313
COLEC11_ENST00000418971	0.1832508701911687	0.8167491298088313
PPHLN1_ENST00000395580	0.1832508701911687	0.8167491298088313
ZNF548_ENST00000336128	0.1832508701911687	0.8167491298088313
OR8B12	0.1832508701911687	0.8167491298088313
PDZD11	0.1832508701911687	0.8167491298088313
ZNF664	0.1832508701911687	0.8167491298088313
COBL	0.1832508701911687	0.8167491298088313
RETNLB	0.1832508701911687	0.8167491298088313
HNRNPCL1	0.1832508701911687	0.8167491298088313
DPPA4	0.1832508701911687	0.8167491298088313
GALP	0.1832508701911687	0.8167491298088313
C11orf94	0.1832508701911687	0.8167491298088313
UQCC	0.1832508701911687	0.8167491298088313
SNRPE	0.1832508701911687	0.8167491298088313
C17orf87	0.1832508701911687	0.8167491298088313
UBE2NL	0.1832508701911687	0.8167491298088313
AGXT2L2	0.1832508701911687	0.8167491298088313
PTEN	0.1832508701911687	0.8167491298088313
MCFD2	0.1832508701911687	0.8167491298088313
C10orf113	0.1832508701911687	0.8167491298088313
NFATC4_ENST00000413692	0.1832508701911687	0.8167491298088313
LAT2	0.1832508701911687	0.8167491298088313
CTXN2_ENST00000417307	0.1832508701911687	0.8167491298088313
ELF3_ENST00000359651	0.1832508701911687	0.8167491298088313
HIST1H2BG	0.1832508701911687	0.8167491298088313
OR4L1	0.1832508701911687	0.8167491298088313
AGXT2L2_ENST00000308158	0.1832508701911687	0.8167491298088313
DEFB118	0.1832508701911687	0.8167491298088313
NFATC4	0.1832508701911687	0.8167491298088313
TEX33	0.1832508701911687	0.8167491298088313
C10orf31	0.1832508701911687	0.8167491298088313
NHEDC1	0.1832508701911687	0.8167491298088313
CCL21	0.1832508701911687	0.8167491298088313
SPATA8	0.1832508701911687	0.8167491298088313
VSTM5_ENST00000409977	0.1832508701911687	0.8167491298088313
C10orf113_ENST00000377118	0.1832508701911687	0.8167491298088313
AP3S1	0.1832508701911687	0.8167491298088313
C10orf113_ENST00000534331	0.1832508701911687	0.8167491298088313
EBPL	0.1832508701911687	0.8167491298088313
OBFC2B	0.1832508701911687	0.8167491298088313
MMD2_ENST00000404774	0.1832508701911687	0.8167491298088313
C20orf85	0.1832508701911687	0.8167491298088313
COBL_ENST00000395542	0.1832508701911687	0.8167491298088313
RASSF2	0.1832508701911687	0.8167491298088313
KRT4	0.1832508701911687	0.8167491298088313
CCL11	0.1832508701911687	0.8167491298088313
STK11	0.1832508701911687	0.8167491298088313
PMEPA1	0.1832508701911687	0.8167491298088313
RFK	0.1832508701911687	0.8167491298088313
PSIP1_ENST00000380733	0.1832508701911687	0.8167491298088313
CCL2	0.1832508701911687	0.8167491298088313
EEF1B2	0.1832508701911687	0.8167491298088313
USP43	0.1832508701911687	0.8167491298088313
THYN1	0.1832508701911687	0.8167491298088313
SLC25A21	0.1832508701911687	0.8167491298088313
LEMD2	0.1832508701911687	0.8167491298088313
EFCAB2_ENST00000366522	0.1832508701911687	0.8167491298088313
ABHD12B	0.1832508701911687	0.8167491298088313
KAL1	0.1832508701911687	0.8167491298088313
CTXN2	0.1832508701911687	0.8167491298088313
ITGB1BP1	0.1832508701911687	0.8167491298088313
NOBOX	0.1832508701911687	0.8167491298088313
TAS2R9	0.1832508701911687	0.8167491298088313
PPHLN1	0.1832508701911687	0.8167491298088313
ENSG00000212999	0.1832508701911687	0.8167491298088313
CSNK1A1L	0.1832508701911687	0.8167491298088313
STK11_ENST00000326873	0.1832508701911687	0.8167491298088313
FOLR4	0.1832508701911687	0.8167491298088313
XXYLT1	0.1832508701911687	0.8167491298088313
TEF	0.1832508701911687	0.8167491298088313
IGFBP6	0.1832508701911687	0.8167491298088313
LCE1C	0.1832508701911687	0.8167491298088313
C22orf33	0.1832508701911687	0.8167491298088313
PTHLH_ENST00000354417	0.1832508701911687	0.8167491298088313
NF1_ENST00000444181	0.1832508701911687	0.8167491298088313
ZFP36L2	0.1832508701911687	0.8167491298088313
NSDHL	0.1832508701911687	0.8167491298088313
FGF16	0.1832508701911687	0.8167491298088313
MS4A13	0.1832508701911687	0.8167491298088313
RIPPLY1	0.1832508701911687	0.8167491298088313
ELF3	0.1832508701911687	0.8167491298088313
VSTM5	0.1832508701911687	0.8167491298088313
ABHD12B_ENST00000337334	0.1832508701911687	0.8167491298088313
S100A7	0.1832508701911687	0.8167491298088313
PLIN2_ENST00000380465	0.1832508701911687	0.8167491298088313
SMAD4	0.1869047619047619	0.8130952380952382
CLDN17	0.19785076035076032	0.8021492396492397
C4orf6	0.20567150511180365	0.7943284948881963
MAP3K12_ENST00000547035	0.21551299231397192	0.7844870076860279
MAP3K12	0.21551299231397192	0.7844870076860279
PRRC2B_ENST00000357304	0.22073560767590616	0.7792643923240937
PRRC2B	0.22073560767590616	0.7792643923240937
HYDIN_ENST00000538248	0.22073560767590616	0.7792643923240937
PBRM1	0.2228659334904425	0.7771340665095575
PBRM1_ENST00000356770	0.2228659334904425	0.7771340665095575
FANK1_ENST00000368691	0.2290689410092395	0.7709310589907604
NDUFB5	0.2290689410092395	0.7709310589907604
BAX	0.2290689410092395	0.7709310589907604
RAB40B	0.2290689410092395	0.7709310589907604
B3GALT1	0.23721912415942267	0.7627808758405773
MEN1	0.23721912415942267	0.7627808758405773
CNTN6	0.23721912415942267	0.7627808758405773
ZNF717	0.23721912415942267	0.7627808758405773
DAXX	0.23721912415942267	0.7627808758405773
ZNF717_ENST00000400845	0.23721912415942267	0.7627808758405773
LGALS13	0.239349449973959	0.7606505500260411
MRPS6	0.239349449973959	0.7606505500260411
BATF3	0.239349449973959	0.7606505500260411
CTSC_ENST00000529974	0.239349449973959	0.7606505500260411
NINJ1	0.239349449973959	0.7606505500260411
C1orf150_ENST00000366490	0.239349449973959	0.7606505500260411
TEX35_ENST00000442872	0.239349449973959	0.7606505500260411
NRAS	0.239349449973959	0.7606505500260411
SASH1_ENST00000367469	0.239349449973959	0.7606505500260411
Q9P1M5_HUMAN	0.239349449973959	0.7606505500260411
C9orf169	0.239349449973959	0.7606505500260411
CNOT2	0.24072307634758539	0.7592769236524145
CEND1	0.24178261622291475	0.7582173837770853
PRR16_ENST00000407149	0.24178261622291475	0.7582173837770853
NEK7	0.24178261622291475	0.7582173837770853
NFATC4_ENST00000556279	0.24178261622291475	0.7582173837770853
ROPN1	0.24178261622291475	0.7582173837770853
ATP5G3	0.24178261622291475	0.7582173837770853
RAB6B	0.24178261622291475	0.7582173837770853
