	Silent/kb	TotMissense	TotSplicing	TotLOF	Missense/kb	LOF/kb	LOF/silent	Splicing/silent	Missense/silent	Hifi/Lofi	LOF/benign	Splicing/benign	Missense/benign	Hifi/benign	avgPolyphen2	LOF/tot	Missense/tot	Splicing/tot	LOF/missense	Mifi/kb	Nonstop/kb	Inframe/kb	Complex/kb	Compound/benign	Compound/kB	Damaging/kb	Damaging/benign	Damaging/Lofi	MissenseEntr	HiMisFreq	FSEntr	HiFSFreq	SplicEntr	HiSplicFreq	NonsenseEntr	HiNonsenseFreq	TotMifi	Label
KCNH5_ENST00000394968	0.0	1	0	0	0.0005333333333333334	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0005333333333333334	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
LINC00346	0.00202020202020202	0	0	0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0	0	0	0	0	0	0	0	0	Unlabeled
FOXR2	0.0010683760683760685	1	0	0	0.0010683760683760685	0.0	0.0	0.0	1.0	8.0	0.0	0.0	1.0	0.0	0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0010683760683760685	0.0	0.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
TACC1_ENST00000443286	0.0	1	0	0	0.0004203446826397646	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0004203446826397646	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
MUC4_ENST00000463781	0.000677381612168237	55	0	7	0.0033869080608411846	0.0004310610259252417	0.6363636363636364	0.0	5.0	1.5	0.5384615384615384	0.0	4.230769230769231	0.23076923076923078	0.5670000000000001	0.0958904109589041	0.7534246575342466	0.0	0.12727272727272726	6.158014656074881e-05	0.0	0.0	0.0	4.076923076923077	0.0032637477677196873	0.00024632058624299524	0.3076923076923077	2.0	-1.7763568394002505e-15	0.01818181818181818	0	0	0	0	2.220446049250313e-16	0.14285714285714285	1	Unlabeled
WNK2_ENST00000395477	0.0	3	0	0	0.0004508566275924256	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0004508566275924256	0.00015028554253080853	56.0	8.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0	0	0	Unlabeled
SLC22A10	0.0006150061500615006	0	0	0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0	0	0	0	0	0	0	0	0	Unlabeled
SLC16A9	0.0	1	0	0	0.00065359477124183	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.00065359477124183	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
ATP5C1	0.0011148272017837235	0	0	0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0	0	0	0	0	0	0	0	0	Unlabeled
MTHFD1	0.0	1	0	0	0.00035612535612535614	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.00035612535612535614	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
